RAdeg,DEdeg,e_RAdeg,e_DEdeg,Field,nobs,mobs,B_V,e_B_V,Vmag,e_Vmag,u_e_Vmag,Bmag,e_Bmag,u_e_Bmag,gmag,e_gmag,u_e_gmag,rmag,e_rmag,u_e_rmag,imag,e_imag,u_e_imag
359.54213,-0.692248,0.885,0.381,20160270,4,20,0.703,0.15,14.151,0.072,0.0,14.854,0.132,0.0,14.475,0.053,0.0,13.962,0.085,0.0,13.793,0.074,0.0
359.703017,-0.681371,0.898,0.284,20160270,4,19,1.623,0.191,13.85,0.074,0.0,15.473,0.176,0.0,14.628,0.05,0.0,13.249,0.084,0.0,12.466,0.067,0.0
359.604805,-0.646387,0.579,0.204,20160270,5,23,0.634,0.109,13.225,0.085,0.0,13.859,0.069,0.0,13.528,0.066,0.0,13.074,0.063,0.0,12.969,0.063,0.0
359.845343,-0.692686,0.748,0.711,20160270,3,11,0.598,0.082,15.44,0.013,0.0,16.037,0.081,0.0,15.73,0.012,0.0,15.272,0.064,0.0,15.145,0.0,1.0
359.882124,-0.600456,0.744,0.582,20160270,3,12,1.042,0.135,14.942,0.117,0.0,15.985,0.068,0.0,15.375,0.073,0.0,14.432,0.049,0.0,14.13,0.006,0.0
359.916593,-0.568025,0.245,0.746,20160270,3,5,1.432,0.0,15.6,0.0,1.0,17.032,0.0,1.0,,,,15.073,0.035,1.0,14.653,0.016,0.0
359.711547,-0.634122,0.867,0.594,20160270,4,17,0.867,0.087,14.895,0.07,0.0,15.762,0.051,0.0,15.342,0.067,0.0,14.62,0.04,0.0,14.497,0.07,0.0
359.793293,-0.583535,0.501,0.124,20160270,5,23,1.078,0.11,9.197,0.0,1.0,10.275,0.11,0.0,10.138,0.621,0.0,8.905,0.0,1.0,8.634,0.0,1.0
359.701584,-0.579795,0.621,0.108,20160270,5,21,0.692,0.1,12.771,0.071,0.0,13.462,0.07,0.0,13.107,0.054,0.0,12.641,0.093,0.0,12.472,0.032,0.0
359.718037,-0.557469,0.469,0.281,20160270,3,15,0.796,0.125,14.039,0.077,0.0,14.835,0.099,0.0,14.416,0.063,0.0,13.749,0.039,0.0,13.591,0.053,0.0
359.794543,-0.499912,0.144,0.091,20110001,2,10,1.118,0.0,8.64,0.0,1.0,9.757,0.0,1.0,9.179,0.0,1.0,8.302,0.0,1.0,7.984,0.0,1.0
359.856094,-0.478019,0.421,0.333,20160270,3,12,0.906,0.061,14.839,0.06,0.0,15.745,0.013,0.0,15.282,0.011,0.0,14.569,0.043,0.0,14.339,0.017,0.0
359.822834,-0.479413,1.554,1.41,20160270,2,4,0.275,0.205,17.086,0.0,1.0,17.361,0.205,1.0,17.034,0.0,1.0,16.263,0.0,1.0,,,
359.481845,-0.710608,0.48,0.219,20160270,5,19,0.768,0.126,12.912,0.1,0.0,13.68,0.077,0.0,13.287,0.07,0.0,12.697,0.088,0.0,12.525,0.073,0.0
359.499532,-0.663926,0.73,0.16,20160270,4,19,1.491,0.112,13.55,0.093,0.0,15.041,0.063,0.0,14.334,0.044,0.0,12.946,0.094,0.0,12.291,0.066,0.0
359.500236,-0.682304,0.831,0.575,20160270,3,10,1.539,0.0,15.881,0.0,1.0,17.42,0.0,1.0,16.751,0.082,0.0,15.437,0.114,0.0,14.792,0.01,0.0
359.513257,-0.648406,0.632,0.328,20160270,4,17,0.922,0.102,14.951,0.097,0.0,15.873,0.029,0.0,15.374,0.04,0.0,14.717,0.093,0.0,14.568,0.118,0.0
359.484765,-0.643576,0.663,0.279,20160270,5,24,0.667,0.127,12.969,0.096,0.0,13.636,0.084,0.0,13.287,0.059,0.0,12.812,0.061,0.0,12.699,0.084,0.0
359.502129,-0.621841,0.413,0.463,20110001,2,5,,,,,,,,,15.878,0.0,0.0,15.178,0.084,0.0,14.902,0.0,1.0
359.53103,-0.621424,0.839,1.113,20110001,2,6,0.609,0.11,16.001,0.0,1.0,16.61,0.11,1.0,16.53,0.038,0.0,16.087,0.099,0.0,,,
